       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller Performance Predictions =========================

  Given an RPM, the velocity is determined that yields peak efficiency.

  Be wary of the highest 1 or 2 RPM data points.  The computations inherently tend toward 
  instability at the highest RPM's where solutions generally still appear to be available.


           ========== 105x45 ==========

       RPM       VMPH       EFF      HP
           ========== 8x4 ==========

       RPM       VMPH       EFF      HP
      1000         3        0.35    0.0000
      2000         6        0.44    0.0010
      3000         9        0.49    0.0030
      4000        13        0.53    0.0060
      5000        16        0.55    0.0110
      6000        19        0.57    0.0180
      7000        23        0.59    0.0280
      8000        27        0.61    0.0390
      9000        30        0.62    0.0570
     10000        35        0.63    0.0730
     11000        38        0.64    0.0970
     12000        42        0.65    0.1260
     13000        46        0.66    0.1560
     14000        49        0.66    0.1980
     15000        52        0.67    0.2410
     16000        56        0.68    0.2920
     17000        62        0.68    0.3300
     18000        66        0.69    0.3910
     19000        70        0.69    0.4600
     20000        73        0.70    0.5380
     21000        77        0.70    0.6240
     22000        81        0.71    0.7210
     23000        85        0.71    0.8280
     24000        90        0.72    0.9280
     25000        96        0.72    0.9980
     26000        97        0.72    1.2170
 


           ========== 8x41SF ==========

       RPM       VMPH       EFF      HP
      1000         3        0.61    0.0000
      2000         6        0.63    0.0010
      3000        10        0.64    0.0030
      4000        13        0.65    0.0060
      5000        17        0.66    0.0120
      6000        20        0.66    0.0210
      7000        24        0.66    0.0340
      8000        28        0.67    0.0490
      9000        30        0.67    0.0720
     10000        36        0.67    0.0930
     11000        39        0.68    0.1240
     12000        42        0.68    0.1660
     13000        47        0.68    0.2040
     14000        50        0.68    0.2560
     15000        54        0.69    0.3150
     16000        57        0.69    0.3840
     17000        61        0.69    0.4610
     18000        65        0.69    0.5500
     19000        68        0.69    0.6490
     20000        74        0.70    0.7430
     21000        76        0.70    0.8880
     22000        81        0.70    1.0100
     23000        83        0.70    1.1870
     24000        88        0.70    1.3500
     25000        92        0.69    1.5440
     26000        91        0.68    1.8780
     27000        95        0.67    2.1730
     28000        94        0.65    2.6390
 


           ========== 8x42SFR ==========

       RPM       VMPH       EFF      HP
      1000         2        0.46    0.0000
      2000         5        0.50    0.0000
      3000         8        0.52    0.0010
      4000        10        0.54    0.0030
      5000        13        0.55    0.0060
      6000        16        0.56    0.0100
      7000        18        0.57    0.0160
      8000        22        0.57    0.0220
      9000        25        0.58    0.0310
     10000        28        0.58    0.0420
     11000        30        0.59    0.0560
     12000        33        0.59    0.0730
     13000        36        0.60    0.0920
     14000        39        0.60    0.1150
     15000        42        0.61    0.1410
     16000        45        0.61    0.1710
     17000        47        0.61    0.2050
     18000        50        0.62    0.2440
     19000        53        0.62    0.2870
     20000        56        0.62    0.3360
     21000        59        0.63    0.3900
     22000        61        0.63    0.4510
     23000        64        0.63    0.5180
     24000        67        0.63    0.5900
     25000        74        0.63    0.6230
     26000        76        0.63    0.7240
     27000        79        0.61    0.8460
     28000        82        0.57    1.0140
     29000        85        0.52    1.2510
     30000        88        0.46    1.5900
     31000        91        0.40    2.0660
 


           ========== 8x45MR ==========

       RPM       VMPH       EFF      HP
      1000         3        0.50    0.0000
      2000         6        0.56    0.0010
      3000        10        0.59    0.0030
      4000        13        0.61    0.0070
      5000        18        0.63    0.0130
      6000        21        0.64    0.0230
      7000        25        0.65    0.0350
      8000        29        0.66    0.0500
      9000        33        0.67    0.0710
     10000        36        0.68    0.0990
     11000        40        0.68    0.1300
     12000        44        0.69    0.1660
     13000        47        0.69    0.2140
     14000        54        0.70    0.2500
     15000        58        0.70    0.3070
     16000        61        0.71    0.3720
     17000        65        0.71    0.4460
     18000        69        0.71    0.5300
     19000        73        0.72    0.6240
     20000        77        0.72    0.7290
     21000        81        0.72    0.8470
     22000        86        0.73    0.9560
     23000        89        0.73    1.1240
     24000        93        0.73    1.2650
     25000        96        0.73    1.4680
     26000       100        0.73    1.6760
 


           ========== 8x47SF ==========

       RPM       VMPH       EFF      HP
      1000         3        0.62    0.0000
      2000         7        0.64    0.0010
      3000        11        0.65    0.0040
      4000        15        0.65    0.0090
      5000        19        0.66    0.0160
      6000        23        0.66    0.0280
      7000        26        0.67    0.0460
      8000        32        0.67    0.0650
      9000        35        0.68    0.0940
     10000        40        0.68    0.1260
     11000        43        0.68    0.1710
     12000        47        0.68    0.2220
     13000        51        0.68    0.2820
     14000        55        0.69    0.3530
     15000        59        0.69    0.4350
     16000        63        0.69    0.5290
