       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller STATIC Performance Predictions ==================
                  (sorted by Propeller) 



                       105x45.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       9000         0.921         0.073         0.511        0.0741        0.1486       0.617
      10000         1.138         0.100         0.628        0.0736        0.1488       0.622
      11000         1.379         0.132         0.756        0.0733        0.1489       0.626
      12000         1.643         0.171         0.897        0.0731        0.1491       0.629
      13000         1.931         0.217         1.050        0.0729        0.1493       0.632
      14000         2.243         0.270         1.215        0.0727        0.1495       0.634
      15000         2.578         0.332         1.393        0.0726        0.1498       0.637
      16000         2.938         0.402         1.584        0.0726        0.1500       0.639
      17000         3.322         0.482         1.788        0.0726        0.1502       0.640
      18000         3.731         0.573         2.005        0.0726        0.1505       0.642
      19000         4.165         0.674         2.236        0.0727        0.1508       0.643
      20000         4.623         0.787         2.481        0.0728        0.1511       0.644
      21000         5.108         0.913         2.740        0.0729        0.1514       0.645
      22000         5.617         1.052         3.014        0.0730        0.1517       0.645
      23000         6.153         1.205         3.303        0.0733        0.1520       0.646
      24000         6.714         1.375         3.611        0.0735        0.1523       0.645
      25000         7.302         1.564         3.943        0.0740        0.1527       0.643
      26000         7.916         1.777         4.307        0.0747        0.1530       0.639
      27000         8.555         2.020         4.716        0.0759        0.1534       0.632


                       7x6F.dat                   

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
